from (ID),to (ID),relationship,year begin,year end
bs,FDP,2,2006,2022
bs,AMI,3,2011,2022
bs,AfIuH,2,2017,2022
bs,BMJ,1,2021,2022
ck,Gruen,2,1998,2022
ck,EKUT,7,,2009
ck,AfKuM,2,2013,2017
ck,AfVudI,2,2013,2017
ck,AfUNunS,2,2013,2021
ck,HA,2,2017,2021
ck,BMUV,1,2021,2022
co,BMEL,1,2021,2022
co,Gruen,2,1981,2022
co,GMF US,3,2003,
co,AfVudI,2,2018,2021
co,DSI,4,,
co,START,4,2013,2019
co,IfFoFaSiE,3,,
co,AJC,3,2013,2021
co,AI,3,2017,2021
co,AS,3,2013,2021
co,DTFS,3,2013,2021
co,GzSsF,3,2017,2021
co,THS,3,2013,2021
co,TDSuAP,3,2013,2021
fb,Gruen,2,1996,2022
fb,BMWK,1,2021,2022
fb,DFPV,2,2021,2022
fb,AfAdEU,2,2013,2021
fb,AA,2,2017,2021
fb,JDC,4,2017,2021
fb,DFI,3,2017,2021
fb,EBD,3,2017,2021
fb,ECFR,3,2017,2021
fb,Fue,3,2017,2021
fb,IEP,3,2017,2021
fb,TWfE,3,2017,2021
fb,TWfG,3,2017,2021
fb,VDFG,3,2017,2021
fb,AfFSFJ,2,2013,2017
fb,AE,3,2013,2017
fb,IdEPP,7,,2004
fb,CU,7,,2004
fb,UM,7,,2010
ft,BMF,1,2021,2022
ft,AfIuH,2,2017,2021
ft,FDP,2,1998,2022
ft,KfW,3,,
ft,GzSsF,3,,
ft,UoC,7,2002,2003
ft,EKUT,7,,2012
jb,FDP,2,2006,2022
jb,LHSLR,7,2002,2003
jb,UM,7,2005,2014
jb,AfFSFJ,2,2017,2021
jb,BSMH,3,2018,2022
jb,DSW,3,2017,2021
jb,VdpHS,3,2017,2021
jb,YEC,3,2017,2021
mat,FDP,2,1983,2022
mat,AfVudI,1,2021,2022
mat,EKUT,7,1990,1995
mat,THS,3,2004,2009
mat,DHBW,6,2004,2009
mat,HA,2,2011,2014
rss,SPD,2,1994,2022
rss,BMUV,1,2013,2022
rss,GVFD,3,,
rss,KfW,3,,
tl,Gruen,2,1998,
tl,HA,2,2013,2021
tl,DKPG,2,2013,2021
tl,DGFfPWK,3,2017,2021
tl,FKGHD,3,2017,2021
tl,AAMT,1,2021,2022